กงต์, โอกูสต์	COMTE, AUGUSTE
การัว	GARUA
การาวัจโจ, มีเกลันเจโล เมรีซี ดา	CARAVAGGIO, MICHELANGELO MERISI DA
การิม	KARIM
การีก	GARRIGUE
การีนี่	GUARINI
การี่	GARI
การ์	KAR
การ์กาโน้	GARGANO
การ์คิก	GARCHIK
การ์ซ่า	GARSIA
การ์ด	CARD
การ์ดิ้น	GARDIN
การ์ดีอาโน่	GUARDIANO
การ์ดเนอร์	GARDNER
การ์ต	GART
การ์ตูน	CARTOON
การ์ตเนอร์	GARTNER
การ์ตเลิ่นด์	GARTLAND
การ์ท	GARTH
การ์นิช	GARNISH
การ์นีย์	GARNEY
การ์บ	GARBE
การ์ฟ	GARV
การ์ฟีลด์, เจมส์ เอบราม	GARFIELD, JAMES ABRAM
การ์รา, การ์โล	CARRA, CARLO
การ์ริเกส	GARRIGUES
การ์รู	KARROO
การ์ลิก	GARLIC
การ์วิน	GARVIN
การ์วี่	GARVEY
การ์วู๊ด	GARWOOD
การ์สต	GARST
การ์สัน	GARSON
การ์เคิ่น	GARCON
การ์เซีย	GARCIA
การ์เดลล่า	GARDELLA
การ์เดิน	GARDEN
การ์เดินเนอร์	GARDENER
การ์เดียซิส	GIARDIASIS
การ์เดียแลมเบลีย	GIARDIA LAMBLIA
การ์เตอร์	GARTER
การ์เติ้น	GARTON
การ์เทิ่น	GARTEN
การ์เนต	GARNET
การ์เนตต์	GARNETT
การ์เนอร์	GARNER
การ์เนิ่ม	GARNHAM
การ์เนียร์	GARNIER
การ์เบอร์	GARBER
การ์เบิส	GARBUS
การ์เมนต์	GARMENT
การ์เมิน	GARMAN
การ์เลิ่ก	GARLOCK
การ์เวอร์	GARVER
การ์เวิก	GARVAGH
การ์เวิ่น	GARVAN
การ์แลนด์, จูดี	GARLAND, JUDY
การ์โร	GARRO
การ์โลส, โมยา	CARLOS, MOYA
การ์โลส, โรแบร์โต	CARLOS, ROBERTO
การ์ไซด์	GARSIDE
กาลา	GALA
กาลาดินเนอร์	GALA DINNER
กาลาปัน	GALAPAN
กาลาพรีเมียร์	GALA PREMIERE
กาลิเลอี	GALILEI
กาลิเลอี, กาลิเลโอ	GALILEI, GALILEO
กาลิเลโอ	GALILEO
กาลีนา	GALENA
กาวน์	GOWN
กาวัซซี่	GAVAZZI
กาวิต	KAWIT
กาสิโน	CASINO
กาห์ไนต์	GAHNITE
กาอินงิน	KAINGIN
กาเบรียล	GABRIEL
กาเบิล	GABEL
กาเฟอีน	CAFFEIN
กาเวิร์น	GOVERN
กาแล็กซี	GALAXY
กาแล็กโทส	GALACTOSE
กาโต	GATEAU
กาโน	GANO
กาโบโรน	GABORONE
กิกก็อนตส์	GIGANTES
กิกส์, ไรอัน	GIGGS, RYAN
กิงกริช	GINGRICH
กิงเกอริก	GINGERICH
กิด	GAEDE
กิดดิงส์	GIDDINGS
กิดดี้	GIDDY
กิดวิตส์	GIDWITZ
กิดเดินส์	GIDDENS
กิตต้า	GITTA
กิตต์	GITT
กิน	GUINN
กินนิ่ง	DINNING
กินสเบิร์ก	GINSBURG
กินส์เบิร์ก	GINSBERG
กินี	GUINEA
กินีบิสเซา	GUINEA-BISSAU
กินเดิ้น	GUINDON
กินเทอร์	GINTHER
กิบบอน	GIBBON
กิบบุตซ์	KIBBUTZ
กิบบ์	GIBB
กิบบ์ไซต์	GIBBSITE
กิบลิ	GHIBLI
กิบลิ	GIBLI
กิบสัน	GIBSON
กิบสัน, เมล	GIBSON, MEL
กิบส์	GIBBS
กิบส์, โจไซอาห์ ดับเบิลยู.	GIBBS, JOSIAH W.
กิฟต์	GIFT
กิฟต์ชอป	GIFT SHOP
กิฟฟอร์ด	GIFFORD
กิฟเฟอร์	KIFFER
กิฟเฟิ่น	GIFFEN
กิม	GIM
กิมมิก	GIMMICK
กิมสัน	GIMSON
กิมเบิล	GIMBEL
กิลก์ส	GILKS
กิลคริสต์	GILCHRIST
กิลคึส	GILKES
กิลด์	GUILD
กิลด์ฟอร์ด	GUILDFORD
กิลพิ้น	GILPIN
กิลฟอยล์	GUILFOYLE
กิลฟิเลิ้น	GILFILLAN
กิลมอร์	GILMORE
กิลมาร์ติน	GILMARTIN
กิลรอย	GILROY
กิลลิก	GILLICK
กิลลิงแฮม	GILLINGHAM
กิลลิส	GILLIES
กิลลิ่ง	GILLING
กิลล์	GHYLL
กิลสัน	GILSON
กิลสเตริป	GILSTRAP
กิลีแลนด์	GILLILAND
กิลเดอรอย	GILDEROY
กิลเดอร์	GILDER
กิลเบรีท	GILBRETH
กิลเบิร์ตสัน	GILBERTSON
กิลเมอร์	GILLMOR
กิลเมิน	GILMAN
กิลเลมิ้น	GUILLEMIN
กิลเลอเกิ้น	GILLIGAN
กิลเลิด	GIELGUD
กิลเลิต	GILLOT
กิลเลิน	GILLEN
กิลเลิ่ม	GILLAM
กิลเลี่ยน	GILIAN
กิลเลี่ยม	GILLIAM
กิลเฮิม	GILLHAM
กิลโซไนต์	GILSONITE
กิลไบรด์	GILBRIDE
กิวด์	GUDE
กิวลิก	GULICK
กิวเซฟ	GUSEV
กิวเตอร์เมิ่น	GUTERMAN
กิสซิง	GISSING
กิสเซอล่า	GISELA
กิอานา	GUIANA
กิเบิร์ต	GUIBERT
กิเลิ่ม	GILLUM
กิโมโน	KIMONO
กิโยตีน	GUILLOTINE
กิโล	KILO
กิโลกรัม	KILOGRAM
กิโลบอด	KILOBAUD
กิโลบิต	KILOBIT
กิโลลิตร	KILOLITER
กิโลเมตร	KILOMETRE
กิโลเฮิรตซ์	KILOHERTZ
กิโลแคลอรี	KILOCALORIE
กิโลไซเกิล	KILOCYCLE
กิ๊บเบิ่น	GIBBENS
กิ๊บเบิ่นส์	GIBBONS
กิ๊ปสัน	GIPSON
กิ๊ฟฟิน	GIFFIN
กีซิก	GIESECKE
กีตาร์	GUITAR
กีนู	GIGNOUX
กีบ	KIP
กีย์เซอไรต์	GEYSERITE
กีรี่	GIRI
กีลอง	GEELONG
กีล์	GUILLE
กีวี	KIWI
กีสต์	GEEST
กีเคอร์	GEEKER
กีเซอร์	GEYSER
กีเดี้ยน	GIDEON
กีเนส	GUINNESS
กีเนิร์ด	GUINARD
กีเบอร์สัน	GUIBERSON
กีเฟิร์ด	GIFFARD
กีเริ่น	GEREN
กีเลอร์	GILLER
กีเวินส์	GIVENS
กีเวิ่น	GIVAN
กีเอิร์ส	GEERS
กีโร	GIRO
กี๊ฟเวิ่น	GIVEN
กึนซ์	GUNZ
กุบไลข่าน	KUBLAI KHAN
กุย	GUI
กุลี	COOLIE
กุสตัน, ฟิลิป	GUSTON, PHILIP
กุโรชิโอ	KUROSHIO
กุโรซิโว	KUROSIWO
กูกวน	GUGUAN
กูช	GOOCH
กูด	GOODE
กูดดี	GOODY
กูดลัก	GOOD LUCK
กูดแมน, เบนนี	GOODMAN, BENNY
กูดไนต์	GOOD NIGHT
กูตาราจา	KUTARAJA
กูติเยเรส	GUTIERREZ
กูท	GUTH
กูนเทอร์	GUENTHER
กูบิ้น	GUBIN
กูม	KOUM
กูร์เบ, กูสตาฟว์	COURBET, GUSTAVE
กูร์เมต์	GOURMET
กูล	GOUL
กูลดิง	GOULDING
กูลด์	GOULD
กูลด์, สตีเฟน เจย์	GOULD, STEPHEN JAY
กูลด์, เชสเตอร์	GOULD, CHESTER
กูลริก	GOOLRICK
กูลลิต	GULLETT
กูลลี	GULLI
กูลส์บี้	GOOLSBY
กูลัวร์	COULOIR
กูลากอง, อีวอนน์	GOOLAGONG, EVONNE
กูลเบิร์น	GOULBURN
กูล์เดิ้น	GOULDEN
กูวารา, เช (เออร์เนสโต)	GUEVARA, CHE (ERNESTO)
กูส	GOOSE
กูสตาเวิส	GUSTAVUS
กูสลาร์	GUSLAR
กูสเซิ่นส์	GOOSSENS
กูสเบอร์รี	GOOSEBERRY
กูเกอเลอร์	GUGLER
กูเกิล	GOOGLE
กูเกิ่นไฮม์	GUGGENHEIM
กูเทนเบิร์ก	GUTENBURG
กูเลียน	GULIAN
กูแลช	GOULASH
กูแวต	CUVETTE
กูโน, ชาร์ล	GOUNOD, CHARLES
กู๊ด	GOOD
กู๊ดบอดิ้	GOODBODY
กู๊ดบาย	GOODBYE
กู๊ดบาร์	GOODBAR
กู๊ดยู	GOODHEW
กู๊ดรัม	GOODRUM
กู๊ดริช	GOODRICH
กู๊ดลิ่ง	GOODLING
กู๊ดวิน	GOODWYN
กู๊ดวิลล์	GOODWILL
กู๊ดสปีด	GOODSPEED
กู๊ดสัน	GOODSON
กู๊ดอล	GOODALL
กู๊ดฮาร์ต	GOODHART
กู๊ดฮิ๊ว	GOODHUE
กู๊ดาเคอร์	GOODACRE
กู๊ดิฟ	GOODEVE
กู๊ดิ่ง	GOODING
กู๊ดีเออร์	GOODIER
กู๊ดเดอโน	GOODENOUGH
กู๊ดเฟลโล	GOODFELLOW
กู๊ดเยียร์	GOODYEAR
กู๊ดเลิ่ก	GOODLUCK
กู๊ดเลิ่น	GOODLAND
กู๊ดเล็ต	GOODLETT
กู๊ดแพสเชอร์	GOODPASTURE
กู๊ดโน	GOODNOW
กู๊ดไคนด์	GOODKIND
กู๊ดไชลด์	GOODCHILD
กู๊เดล	GOODALE
กู๊เดิ่น	GOODEN
กู๊แดร์	GOODAIR
ก็อก, ฟินเซนต์ ฟาน	GOGH, VINCENT VAN
ก็อง	CAEN
ก็อดซีย์	GODSEY
ก็อดบี้	GODBY
ก็อดลัฟ	GODLOVE
ก็อดลี่ย์	GODLEY
ก็อดสัน	GODSON
ก็อดเชิล	GODSHALL
ก็อดเซิล	GODSELL
ก็อดเบอร์	GODBER
ก็อดเบาต์	GODBOUT
ก็อดเมิน	GODMAN
ก็อตต์	GOTT
ก็อตส์เมิ่น	GOTTESMAN
ก็อตเชิก	GOTTSCHALK
ก็อตเชิล	GOTTSCHALL
ก็อตเตอร์	KOTTER
ก็อตโต้	GOTTO
ก็อบบี้	GOBBI
ก็อลต์	GAULT
ก๊อก	COCK
ก๊อบปี้	COPY
ก๊อบปี้ไรเตอร์	COPY WRITER
ก๊าซ	GAS
ก๊าซเทอร์โมมิเตอร์	GAS THERMOMETER
ก๊าฟต์	GAFT
ข่าน	KHAN
คนูตสัน	KNUTSON
ครอกเกตต์	CROCKETT
ครอท	KRAUTH
ครอน	KRON
ครอนเบิร์ก	KRONBERG
ครอปป์	KROPP
ครอฟต์	CROFT
ครอม	KROM
ครอมเลค	CROMLECH
ครอมเวลล์	CROMWELL
ครอยเกอร์	KREUGER
ครอว์ฟอร์ด	CRAWFORD
ครอว์ฟิช	CRAWFISH
ครอส	KRAUSE
ครอสซอปเทอริเจียน	CROSSOPTERYGIAN
ครอสฟีลด์	CROSFIELD
ครอสสติตช์	CROSS-STITCH
ครอสส์ คันทรี	CROSS COUNTRY
ครอเนินเบิร์ก	KRONENBERG
ครอเลอร์โดเซอร์	CRAWLER DOZER
ครัช	KRUTCH
ครันดอลล์	CRUNDALL
ครัม	KRUM
ครัม	KRUMM
ครัมบ์	CRUMB
ครัลเลอร์	CRULLER
ครัวซองต์	CROISSANT
ครัสต์	CRUST
ครัสเตเชียน	CRUSTACEANS
ครัสเตเซีย	CRUSTACEA
คราชิน	CRACHIN
คราตส์	KRAATZ
คราฟต์	CRAFT
คราฟท์	KRAFT
คราล	KRAAL
คราวน์	CROWN
คราวน์โคโลนี	CROWN COLONY
คราส	ECLIPSE
คราสน่า	KRASNA
คราเมอร์	CRAMER
คริก	KRICK
คริกเกต	CRICKET
คริชตัน, ไมเคิล	CRICHTON, MICHAEL
คริน	KRENE
คริปตอน	CRIPTON
คริปทอน	KRYPTON
คริปโตสปอริเดียม	CRYPTOSPORIDIUM
คริปโทซูน	CRYPTOZOON
คริปโทโซอิก	CRYPTOZOIC
คริม	KRIMM
คริมสันโคลเวอร์	CRIMSON CLOVER
คริลล์	KRILL
คริส	CHRIS
คริสซี	CHRISSIE
คริสตอเฟอร์สัน	CHRISTOPHERSON
คริสตัล	CRYSTAL
คริสตัลไลน์	CRYSTALLINE
คริสตาเบิล	CHRISTABEL
คริสตินา	CHRISTINA
คริสติแอน่า	CHRISTIANA
คริสตี	CHRISTIE
คริสตีน	CHRISTINE
คริสตีสัน	CHRISTENSON
คริสตีเซิ่น	CHRISTESEN
คริสตี้	CHRISTY
คริสต์	CHRIST
คริสต์มาส	CHRISTMAS
คริสต์มาสพุดดิง	CHRISTMAS PUDDING
คริสต์เมิน	CHRISTMAN
คริสทอฟเฟิล	CHRISTOFFEL
คริสป์	CRISP
คริสเตนเซิ่น	CHRISTENSEN
คริสเติ้นเซิ่น	KRISTENSEN
คริสเตียน	CHRISTIAN
คริสเตียนเซิ่น	CHRISTIANSEN
คริสเตียโน	CHRISTIANO
คริสเทิล	KRISTOL
คริสเมิน	CHRISMAN
คริสแทลลอยด์	CRYSTALLOID
คริสโต	CHRISTO
คริสโตวัล	CHRISTOVAL
คริสโตเฟอร์	CHRISTOPHER
คริสโทบาไลต์	CRISTOBALITE
คริโซคอลลา	CHRYSOCOLLA
คริโซไทล์	CHRYSOTILE
คริโซไลต์	CHRYSOLITE
ครีก	CREEK
ครีซัส	CROESUS
ครีซีย์	CREASEY
ครีต	CRETE
ครีปัสคิวลาร์	CREPUSCULAR
ครีม	CREAM
ครีมคาราเมล	CREAM CARAMEL
ครีมออฟทาร์ทาร์	CREAM OF TARTAR
ครีมโซดา	CREAM SODA
ครีลีย์	CREELEY
ครีสต์เกา	CHRISTGAU
ครีสเติฟ	KRISTOF
ครีเกอร์	KRIEGER
ครีเกิล	KRIEGEL
ครีเซิน	CHRISTEN
ครีเซ็ก	KRIZEK
ครีเตเชียส	CRETACEOUS
ครีเบิล	KRIEBEL
ครีเมิร์ส	KREMERS
ครีเอทิฟ	CREATIVE
ครีโอฟิลิก	CRYOPHILIC
ครีโอล	CREOLE
ครีโอโซต	CREOSOTE
ครูกส์	CROOKES
ครูส	CRUISE
ครูส, ทอม	CRUISE, TOM
ครูเกอร์	KRUGER
ครูเสด	CRUSADE
ครูแพนสกี้	KRUPANSKY
คร็อก, เรย์ เอ.	KROC, RAY A.
คร็อกพอต	CROCK POT
คร็อฟตส์	CROFTS
คลอด	CLAUDE
คลอดิอัส	CLAUDIUS
คลอดีน	CLAUDINE
คลอดี้	CLAUDY
คลอนไดก์	KLONDIKE
คลอยด์	CLOYD
คลอยน์	CLOYNE
คลอรามีน	CHLORAMINES
คลอริเนเต็ดไอโซไชยานูเรต	CHLORINATED ISOCYANURATES
คลอริเนเต็ดไฮโดรคาร์บอน	CHLORINATED HYDROCARBONS
คลอรีน	CHLORINE
คลอส	CLOSS
คลอสส์	KLOSS
คลอสัน	CLAWSON
คลอสเซิน	CLAUSSEN
คลอเซอร์	CLAUSER
คลอเดิล	CLAUDEL
คลอเติ้น	CLAUGHTON
คลอแอนไทต์	CHLOANTHITE
คลอโรฟลูออโรคาร์บอน	CHLOROFLUOROCARBON
คลอโรฟอร์ม	CHOLOROFORM
คลอโรฟีนอล	CHLOROPHENOL
คลอโรฟีลล์	CHLOROPHYLL
คลอโรแกนิก	CHLORORGANIC
คลอไรด์	CHLORIDE
คลอไรต์	CHLORITE
คลัก	CLAGUE
คลักเมิ่น	KLUGMAN
คลัง	CLUNG
คลังก์	KLUNK
คลัด	KLUD
คลัตช์	CLUTCH
คลัตท่า	CLUTHA
คลัตเตอร์	CLUTTER
คลัตเตอร์เบิ่ก	CLUTTERBUCK
คลัตเติ้น	CLUTTON
คลันเดอร์	KLUNDER
คลับ	CLUBB
คลับเปอร์	CLAPPER
คลับเฮาส์	CLUB HOUSE
คลัมป์	KLUMPP
คลัสเตอร์	CLUSTER
คลาก	CLARKE
คลารา	CLARA
คลาริเนต	CLARINET
คลารีน่า	CLARINA
คลาร์ก	CLERK
คลาร์กส	CLARKES
คลาร์กสัน	CLARKSON
คลาร์ดี้	CLARDY
คลาส	KLASS
คลาสสิก	CLASSIC
คลาเรนดอน	CLARENDON
คลาโรดูไรต์	CLARODURITE
คลาไรต์	CLARITE
คลิก	CLICK
คลิง	KLING
คลิงฮอฟเฟอร์	KLINGHOFFER
คลิงเกอร์	CLINKER
คลิงเกิล	KLINGEL
